MM-DD,Normalized Date,Card,System,Source,Confidence,Notes,Rank,Suit,Suit Order,Rank Order
01-01,2000-01-01,King of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-02,2000-01-02,Queen of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-03,2000-01-03,Jack of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-04,2000-01-04,10 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Spades,1.0,10.0
01-05,2000-01-05,9 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Spades,1.0,9.0
01-06,2000-01-06,8 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Spades,1.0,8.0
01-07,2000-01-07,7 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Spades,1.0,7.0
01-08,2000-01-08,6 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Spades,1.0,6.0
01-09,2000-01-09,5 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Spades,1.0,5.0
01-10,2000-01-10,4 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Spades,1.0,4.0
01-11,2000-01-11,3 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Spades,1.0,3.0
01-12,2000-01-12,2 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Spades,1.0,2.0
01-13,2000-01-13,Ace of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-14,2000-01-14,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-15,2000-01-15,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-16,2000-01-16,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-17,2000-01-17,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
01-18,2000-01-18,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
01-19,2000-01-19,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
01-20,2000-01-20,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
01-21,2000-01-21,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
01-22,2000-01-22,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
01-23,2000-01-23,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
01-24,2000-01-24,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
01-25,2000-01-25,2 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Hearts,4.0,2.0
01-26,2000-01-26,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-27,2000-01-27,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-28,2000-01-28,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-29,2000-01-29,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
01-30,2000-01-30,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
01-31,2000-01-31,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
02-01,2000-02-01,Jack of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
02-02,2000-02-02,10 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Spades,1.0,10.0
